id,type,domain,enabled,date_added,date_modified,comment
2,1,www.hanqiweb.com,1,1617104684,1617104684,"Added from Query Log"
3,1,www.hanqiweb.cn,1,1617104690,1617104690,"Added from Query Log"
6,1,open.acgnxtracker.com,1,1617108085,1617108085,"Added from Query Log"
7,1,graph.facebook.com,1,1617142672,1617142672,
8,0,nbstream.binance.com,1,1617201653,1617989407,
9,0,fstream.binance.com,1,1617201657,1617201657,"Added from Query Log"
10,1,alt3-mtalk.google.com,1,1617210526,1617210526,"Added from Query Log"
12,1,data.paddle.com,1,1617210568,1617210568,"Added from Query Log"
15,1,mrs-mvp.trafficmanager.net,1,1617225279,1617225279,"Added from Query Log"
16,1,firefox.settings.services.mozilla.com,1,1617268762,1617268762,"Added from Query Log"
18,1,push.services.mozilla.com,1,1617268768,1617268768,"Added from Query Log"
19,1,apple-finance.query.yahoo.com,1,1617268796,1617268796,"Added from Query Log"
20,1,tracking.paypal.com,1,1617268822,1617268822,"Added from Query Log"
22,1,alt4-mtalk.google.com,1,1617268899,1617268899,"Added from Query Log"
23,1,alt5-mtalk.google.com,1,1617268913,1617268913,"Added from Query Log"
24,1,alt8-mtalk.google.com,1,1617268964,1617268964,"Added from Query Log"
25,1,fr-app-chat-global-xiaomi-net-1516654448.eu-central-1.elb.amazonaws.com,1,1617268973,1617268973,"Added from Query Log"
26,1,resolver.msg.global.xiaomi.net,1,1617268982,1617268982,"Added from Query Log"
27,1,fr-app-chat-global-xiaomi-net2-2117517874.eu-central-1.elb.amazonaws.com,1,1617268990,1617268990,"Added from Query Log"
28,1,safebrowsing.googleapis.com,1,1617269001,1617269001,"Added from Query Log"
29,1,alt7-mtalk.google.com,1,1617269014,1617269014,"Added from Query Log"
30,1,alt1-mtalk.google.com,1,1617271105,1617271105,"Added from Query Log"
31,1,fr-app-chat-global-xiaomi-net1-1667981913.eu-central-1.elb.amazonaws.com,1,1617271127,1617271127,"Added from Query Log"
32,1,mozilla.cloudflare-dns.com,1,1617271956,1617271956,"Added from Query Log"
33,1,alt6-mtalk.google.com,1,1617272685,1617272685,"Added from Query Log"
34,1,aus5.mozilla.org,1,1617272702,1617272702,"Added from Query Log"
35,1,suggestqueries-clients6.youtube.com,1,1617274365,1617274365,"Added from Query Log"
36,1,alt2-mtalk.google.com,1,1617284072,1617284072,"Added from Query Log"
37,1,ams2.current.a.prd.aadg.trafficmanager.net,1,1617284525,1617284525,"Added from Query Log"
38,0,boards.4chan.org,1,1617827768,1617827768,"Added from Query Log"
39,0,campaign.aliexpress.com,1,1617827941,1617827941,"Added from Query Log"
40,1,scdnco.spotify.map.fastly.net,1,1617828537,1617828537,"Added from Query Log"
42,0,sensors.binance.cloud,1,1617879185,1617879185,"Added from Query Log"
43,0,url8807.global.passport.xiaomi.com,1,1617881595,1617881595,"Added from Query Log"
44,0,sendgrid.net,1,1617881611,1617881611,"Added from Query Log"
45,0,www.guns.com,1,1617915024,1617915024,"Added from Query Log"
47,1,android-safebrowsing.google.com,1,1617972491,1617972491,"Added from Query Log"
48,0,www.googletagmanager.com,1,1617988921,1617988921,"Added from Query Log"
50,1,app-measurement.com,1,1617989259,1617989259,"Added from Query Log"
51,1,api.gameanalytics.com,1,1617989265,1617989265,"Added from Query Log"
53,0,snowplow.trx.gitlab.net,1,1617991749,1617991749,"Added from Query Log"
55,1,log.tailscale.io,1,1618007632,1618007632,"Added from Query Log"
56,1,www.tm.a.prd.aadg.trafficmanager.net,1,1618007666,1618007666,"Added from Query Log"
57,1,gj.gds.mmstat.com,1,1618009278,1618009278,"Added from Query Log"
58,1,prod.detectportal.prod.cloudops.mozgcp.net,1,1618948249,1618948249,"Added from Query Log"
59,1,mtalk.google.com,1,1618948252,1618948252,"Added from Query Log"
